samp_id,sc_id,mc_id,day,treatment,mc_round,age,final_fecal_volume_mL,gene_count_per_microlitre_feces,qpcr_complete,genecount_1µL_qpcr,genecount_total_predf,genecount_total,total_seq,Enterobacteriaceae_ng,Enterococcus,Pseudomonas,Paenibacillus,Cellulosimicrobium,Stenotrophomonas,Bombilactobacillus,Priestia,Mixta,Lactobacillus,Rhizobium,Delftia,Bifidobacterium,Snodgrassella,Sphingomonas,Lysinibacillus,Curtobacterium,Roseomonas,Sphingobacterium,Paracoccus,Comamonadaceae_ng,Apilactobacillus,Dermacoccus,Schmidhempelia,Bombiscardovia,Schmidhempelia,Stenotrophomonas,Rhodococcus,Delftia,Dermacoccus,Methylorubrum,Meiothermus,Stenotrophomonas,Roseomonas,Acinetobacter,Commensalibacter,Arsenophonus,Comamonas,Klebsiella,Enterococcus,Acetobacter,Sphingobium,Brevundimonas,Lachnoclostridium,Leucobacter
M13D0,2,13,0,800 ng/mL,1,1,0.21667,962350.2192,yes,278016.5626,13900828.13,208512422,20112,0,0,0,0,0,0,7677180.238,0,0,22236928.83,0,0,2338150.036,0,0,0,0,0,0,0,0,0,0,0,0,15486546.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M13D14,2,13,14,800 ng/mL,1,1,0.11074,4475266.104,yes,660787.9578,33039397.89,495590968.4,28465,34196723.01,480738.7728,6291254.68,174277.9285,0,0,2642049.224,0,129335.437,5875161.078,0,0,4789205.086,248100.1487,0,646334.3738,0,0,0,0,0,0,0,0,112085.0229,1318848.224,3637201.502,0,0,0,0,0,13218000.57,0,21781362.79,0,0,5500.957969,1542263.486,354057.5847,0,0,0,13928.38593,0
M13D3,2,13,3,800 ng/mL,1,1,0.14211,1422720.747,yes,269577.127,13478856.35,202182845.3,27317,24266.74742,0,0,0,0,0,5824867.251,0,0,19392771.39,0,0,2973878.267,0,0,0,0,0,0,0,0,0,0,0,0,18653267.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M13D5,2,13,5,800 ng/mL,1,1,0.09785,1422982.646,yes,185651.8025,9282590.124,139238851.9,23356,1343800.608,0,0,46085.61742,0,0,3168584.094,0,0,11978376.12,0,0,6181790.902,0,0,42105.96072,0,0,0,0,0,0,0,0,0,10063160.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M13D8,2,13,8,800 ng/mL,1,1,0.1328,2954512.467,yes,523145.6741,26157283.71,392359255.6,26828,26678620.67,51842.29668,549733.7182,143495.9679,0,0,3542904.026,0,137892.7546,14128463.47,0,0,7303711.693,669093.3774,0,254457.211,0,0,0,0,0,0,0,0,1249087.141,5286934.247,0,0,0,0,0,0,0,0,16916967.05,0,0,0,721157.001,0,0,0,0,87749.97043,0
M13FECAL,2,13,Gut,800 ng/mL,1,1,0.11074,4475266.104,yes,660787.9578,33039397.89,495590968.4,28465,34196723.01,480738.7728,6291254.68,174277.9285,0,0,2642049.224,0,129335.437,5875161.078,0,0,4789205.086,248100.1487,0,646334.3738,0,0,0,0,0,0,0,0,112085.0229,1318848.224,3637201.502,0,0,0,0,0,13218000.57,0,21781362.79,0,0,5500.957969,1542263.486,354057.5847,0,0,0,13928.38593,0
M13GUT,2,13,Gut,800 ng/mL,,,,,yes,565684.8293,56568482.93,8485272439,17303,132245361.8,0,434745.3406,340213.1721,0,0,481933854.6,0,0,679487115.6,0,0,618661132,24029262.71,0,0,0,0,0,0,0,0,0,0,12207211.55,90845329.26,2536516.145,0,0,0,0,0,8455054.628,0,2634948.114,0,0,0,0,0,0,0,0,0,0
M15D0,1,15,0,Control,2,3,0.150232799,1485727.955,yes,297606.759,14880337.95,223205069.2,26139,0,0,0,0,0,0,3274767.347,0,0,18085094.75,0,0,4756798.57,17644036.68,0,0,0,0,0,0,0,0,0,0,2704677.751,7373563.559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M15D14,1,15,14,Control,2,3,0.076720324,1093870.658,yes,111896.1484,5594807.418,83922111.27,24306,0,0,7346.235097,0,0,0,1915403.251,0,0,5327580.162,0,0,5059859.932,3194640.561,0,0,0,0,0,0,0,0,0,0,1413693.825,4343537.243,0,0,0,0,0,0,8929.481448,0,0,0,0,0,0,0,0,0,0,0,0
M15D3,1,15,3,Control,2,3,0.153982301,687752.1469,yes,141202.2107,7060110.537,105901658.1,24613,0,0,0,0,0,0,2572997.672,0,0,6004263.227,0,0,3765160.766,8199816.565,0,0,0,0,0,0,0,0,0,0,2127329.509,4031603.368,0,0,0,0,0,4302.67317,0,0,0,0,0,0,0,0,0,0,0,0,0
