samp_id,sc_id,mc_id,day,treatment,mc_round,age,final_fecal_volume_mL,gene_count_per_microlitre_feces,qpcr_complete,genecount_1µL_qpcr,genecount_total_predf,genecount_total,total_seq
M59D5,5,59,5,1 ng/mL,5,1,0.105596936,2546421.53,yes,358525.7484,17926287.42,268894311.3,21965
M59D8,5,59,8,1 ng/mL,5,1,0.097963143,2228426.764,yes,291071.5863,14553579.32,218303689.7,25236
M5D0,1,5,0,100 ng/mL,1,1,0.108206768,704740.4714,yes,101676.9182,5083845.912,76257688.69,22145
M5D14,1,5,14,100 ng/mL,1,1,0.139821081,6010414.193,yes,1120510.146,56025507.32,840382609.7,24441
M5D3,1,5,3,100 ng/mL,1,1,0.139594037,1467691.903,yes,273174.717,13658735.85,204881037.8,25064
M5D5,1,5,5,100 ng/mL,1,1,0.133049714,688080.7795,yes,122065.2679,6103263.394,91548950.92,22217
M5D8,1,5,8,100 ng/mL,1,1,0.151970891,575725.2922,yes,116657.9808,5832899.042,87493485.63,26005
M60D0,5,60,0,10 ng/mL,5,1,0.157208707,2291348.639,yes,480293.2759,24014663.79,360219956.9,25133
M60D14,5,60,14,10 ng/mL,5,1,0.221265512,742843.1079,yes,219154.0808,10957704.04,164365560.6,25289
M60D3,5,60,3,10 ng/mL,5,1,0.099198835,2984476.683,yes,394742.1466,19737107.33,296056610,21643
M60D5,5,60,5,10 ng/mL,5,1,0.127430933,1486327.127,yes,252538.7366,12626936.83,189404052.5,31891
M60D8,5,60,8,10 ng/mL,5,1,0.109511385,8547791.3,yes,1248107.285,62405364.26,936080463.9,35289
M61D0,5,61,0,100 ng/mL,5,1,0.17629498,1331524.146,yes,312988.0302,15649401.51,234741022.7,24925
M61D14,5,61,14,100 ng/mL,5,1,0.204586917,5013642.617,yes,1367634.248,68381712.38,1025725686,27596
M61D3,5,61,3,100 ng/mL,5,1,0.158628814,898978.5979,yes,190138.545,9506927.252,142603908.8,26748
M61D5,5,61,5,100 ng/mL,5,1,0.200398974,2700410.767,yes,721546.0627,36077303.13,541159547,28706
M61D8,5,61,8,100 ng/mL,5,1,0.208781461,1687796.468,yes,469840.8165,23492040.82,352380612.4,30039
M62D0,5,62,0,800 ng/mL,5,1,0.130175816,605945.8553,yes,105172.6615,5258633.077,78879496.16,23790
M62D14,5,62,14,800 ng/mL,5,1,0.141422222,708491.3275,yes,133595.2237,6679761.186,100196417.8,27414
M62D3,5,62,3,800 ng/mL,5,1,0.151122141,2255204.152,yes,454415.0398,22720751.99,340811279.8,28692
M62D5,5,62,5,800 ng/mL,5,1,0.193881076,861003.8032,yes,222576.4585,11128822.92,166932343.8,20662
M62D8,5,62,8,800 ng/mL,5,1,0.191509742,1034929.742,yes,264265.5037,13213275.19,198199127.8,30938
M6D0,1,6,0,800 ng/mL,1,1,0.109301548,1874291.852,yes,273150.6678,13657533.39,204863000.8,22931
M6D14,1,6,14,800 ng/mL,1,1,0.196714129,665181.9611,yes,174467.5868,8723379.342,130850690.1,24475
M6D3,1,6,3,800 ng/mL,1,1,0.0733869,1171465.559,yes,114626.9678,5731348.39,85970225.86,22012
M6D5,1,6,5,800 ng/mL,1,1,0.111434185,878618.3436,yes,130544.1587,6527207.936,97908119.04,23337
M6D8,1,6,8,800 ng/mL,1,1,0.153863819,1839417.51,yes,377359.7373,18867986.86,283019802.9,26228
M71D0,5,71,0,Control,6,3,0.209622324,728028.1985,yes,203481.2838,10174064.19,152610962.9,22910
M71D14,5,71,14,Control,6,3,0.13814595,1086367.946,yes,200103.1094,10005155.47,150077332,22708
M71D3,5,71,3,Control,6,3,0.178814602,481917.81,yes,114898.5885,5744929.427,86173941.4,23786
M71D5,5,71,5,Control,6,3,0.154507743,4105100.788,yes,845693.1433,42284657.17,634269857.5,24919
M71D8,5,71,8,Control,6,3,0.188980457,2250350.673,yes,567029.7314,28351486.57,425272298.6,17225
M71FECAL,5,71,Gut,Control,6,3,,,yes,200103.1094,10005155.47,150077332,22708
M71GUT,5,71,Gut,Control,,,,,yes,473393.9437,47339394.37,7100909156,15870
M72D0,5,72,0,DMSO,6,3,0.118242239,2145253.4,yes,338212.7536,16910637.68,253659565.2,25808
M72D14,5,72,14,DMSO,6,3,0.175520413,1207301.482,yes,282541.4062,14127070.31,211906054.7,25557
M72D3,5,72,3,DMSO,6,3,0.187831704,437574.1584,yes,109587.0664,5479353.32,82190299.8,20245
M72D5,5,72,5,DMSO,6,3,0.141518537,1087230.397,yes,205151.0069,10257550.35,153863255.2,27859
M72D8,5,72,8,DMSO,6,3,0.152737117,1513338.237,yes,308190.559,15409527.95,231142919.3,30129
M73D0,5,73,0,1 ng/mL,6,3,0.146190864,2096971.663,yes,408744.1322,20437206.61,306558099.2,21537
M73D14,5,73,14,1 ng/mL,6,3,0.158627839,703499.6417,yes,148792.8372,7439641.86,111594627.9,25580
M73D3,5,73,3,1 ng/mL,6,3,0.135646078,704824.9366,yes,127475.6511,6373782.555,95606738.33,27127
M73D5,5,73,5,1 ng/mL,6,3,0.205071665,1348035.899,yes,368591.955,18429597.75,276443966.3,31475
M73D8,5,73,8,1 ng/mL,6,3,0.180966859,2129277.524,yes,513771.5538,25688577.69,385328665.4,31334
M74D0,5,74,0,10 ng/mL,6,3,0.132177709,9219390.601,yes,1624797.237,81239861.85,1218597928,31608
M74D14,5,74,14,10 ng/mL,6,3,0.127088989,3134213.027,yes,531098.6199,26554931,398323964.9,31233
M74D3,5,74,3,10 ng/mL,6,3,0.116065265,,,,,,
M74D5,5,74,5,10 ng/mL,6,3,0.12846182,3143944.506,yes,2385809.904,26925122.22,403876833.2,28081
M74D8,5,74,8,10 ng/mL,6,3,0.141080569,1756961.022,yes,538502.4443,16524870.72,247873060.7,26385
M75D0,5,75,0,100 ng/mL,6,3,0.151626483,1634760.998,yes,330497.4143,16524870.72,247873060.7,23771
M75D14,5,75,14,100 ng/mL,6,3,0.135276036,605352.8938,yes,109186.3198,5459315.99,81889739.85,23270
M75D3,5,75,3,100 ng/mL,6,3,0.186642827,1037690.483,yes,258236.6471,12911832.36,193677485.3,25446
M75D5,5,75,5,100 ng/mL,6,3,0.157241697,509004.6464,yes,106715.6725,5335783.625,80036754.38,31479
M75D8,5,75,8,100 ng/mL,6,3,0.163846243,694854.1969,yes,151798.9994,7589949.97,113849249.6,24573
M76D0,5,76,0,800 ng/mL,6,3,0.197075774,452886.2433,yes,119003.8759,5950193.795,89252906.93,24078
M76D14,5,76,14,800 ng/mL,6,3,0.160166221,1105978.03,yes,236187.0953,11809354.77,177140321.5,26533
M76D3,5,76,3,800 ng/mL,6,3,0.118867732,4448620.353,yes,705063.2158,35253160.79,528797411.9,28502
M76D5,5,76,5,800 ng/mL,6,3,0.147268519,1729125.331,yes,339527.6355,16976381.78,254645726.6,28462
M76D8,5,76,8,800 ng/mL,6,3,0.17688069,1447622.549,yes,341408.6339,17070431.7,256056475.4,26324
M76FECAL,5,76,Gut,800 ng/mL,6,3,,,yes,236187.0953,11809354.76,177140321.5,26533
M76GUT,5,76,Gut,800 ng/mL,,,,,yes,254152.9557,25415295.57,3812294335,25207
M8D0,2,8,0,Control,1,1,0.139021242,1962644.732,yes,363799.0776,18189953.88,272849308.2,27903
M8D14,2,8,14,Control,1,1,0.067064168,2980740.179,yes,266534.4801,13326724,199900860.1,24417
M8D3,2,8,3,Control,1,1,0.165744838,492272.202,yes,108788.7685,5439438.425,81591576.37,28140
M8D5,2,8,5,Control,1,1,0.089343832,489557.9311,yes,58318.64206,2915932.103,43738981.55,20077
M8D8,2,8,8,Control,1,1,0.029896531,926863.8321,yes,36946.68439,1847334.219,27710013.29,25561
M8FECAL,2,8,Gut,Control,1,1,,,yes,266534.4801,13326724,199900860.1,24417
M8GUT,2,8,Gut,Control,,,,,yes,686643.5359,68664353.59,10299653039,21780
M9D0,2,9,0,DMSO,1,1,0.129053149,1237995.012,yes,213022.8729,10651143.65,159767154.7,24709
M9D14,2,9,14,DMSO,1,1,0.088669271,13392804.58,yes,1583373.626,79168681.28,1187530219,22715
M9D3,2,9,3,DMSO,1,1,0.148864186,623590.7674,yes,123773.776,6188688.8,92830331.99,21662
M9D5,2,9,5,DMSO,1,1,0.099616368,1644804.632,yes,218465.9513,10923297.56,163849463.5,23325
M9D8,2,9,8,DMSO,1,1,0.148446753,15260502.04,yes,3020495.97,151024798.5,2265371977,26248
