samp_id,sc_id,mc_id,day,treatment,mc_round,age,final_fecal_volume_mL,gene_count_per_microlitre_feces,qpcr_complete,genecount_1µL_qpcr,genecount_total_predf,genecount_total,total_seq
M1D14,1,1,14,Control,1,1,0.224173394,776999.9525,yes,232243.6221,11612181.1,174182716.5,21018
M1D3,1,1,3,Control,1,1,0.292651449,422606.9453,yes,164902.0466,8245102.329,123676534.9,24774
M1D5,1,1,5,Control,1,1,0.084162896,628326.7302,yes,70509.063,3525453.15,52881797.25,24123
M1D8,1,1,8,Control,1,1,0.175102459,480875.5564,yes,112269.9898,5613499.492,84202492.39,24958
M20D0,1,20,0,800 ng/mL,2,3,0.127237282,379157.3656,yes,64323.93686,3216196.843,48242952.65,29177
M20D14,1,20,14,800 ng/mL,2,3,0.204074667,455287.7349,yes,123883.5905,6194179.526,92912692.89,25849
M20D3,1,20,3,800 ng/mL,2,3,0.067115385,2286667.057,yes,204627.3865,10231369.32,153470539.9,21403
M20D5,1,20,5,800 ng/mL,2,3,0.192698857,596774.148,yes,153330.2616,7666513.08,114997696.2,28498
M20D8,1,20,8,800 ng/mL,2,3,0.098888614,735626.8192,yes,96993.48876,4849674.438,72745116.57,33694
M22D0,2,22,0,Control,2,3,0.133224122,563973.8741,yes,100179.8989,5008994.947,75134924.21,20511
M22D14,2,22,14,Control,2,3,0.165609349,392809.5403,yes,86737.243,4336862.15,65052932.25,28233
M22D3,2,22,3,Control,2,3,0.071550449,3487441.665,yes,332704.0227,16635201.13,249528017,21120
M22D5,2,22,5,Control,2,3,0.09323124,587589.1283,yes,73042.21739,3652110.87,54781663.04,15999
M22D8,2,22,8,Control,2,3,0.141888312,1242945.941,yes,235146.0019,11757300.1,176359501.5,31588
M23D0,2,23,0,DMSO,2,3,0.084809715,3947228.122,yes,446351.0561,22317552.81,334763292.1,26707
M23D14,2,23,14,DMSO,2,3,0.050073819,1328858.159,yes,88721.33727,4436066.864,66541002.95,26539
M23D3,2,23,3,DMSO,2,3,0.068305282,1080875.172,yes,98439.31129,4921965.564,73829483.46,17876
