sample,sc_id,mc_id,day,treatment,mc_round,age,total_seq, Enterobacteriaceae_ng, Enterococcus, Pseudomonas, Paenibacillus, Cellulosimicrobium, Enterobacteriaceae_ng, Enterobacteriaceae_ng, Enterococcus, Stenotrophomonas, Enterobacteriaceae_ng, Bombilactobacillus, Priestia, Pseudomonas, Mixta, Enterobacteriaceae_ng, Lactobacillus, Enterobacteriaceae_ng, Enterococcus, Lactobacillus, Rhizobium, Delftia, Bifidobacterium, Snodgrassella, Sphingomonas, Bombilactobacillus, Bifidobacterium, Lysinibacillus, Bifidobacterium, Curtobacterium, Lactobacillus, Roseomonas, Lactobacillus, Sphingobacterium, Paracoccus, Comamonadaceae_ng, Apilactobacillus, Pseudomonas, Dermacoccus, Schmidhempelia, Bombiscardovia, Schmidhempelia, Stenotrophomonas, Lactobacillus, Rhodococcus, Delftia, Bifidobacterium, Lactobacillus, Dermacoccus, Pseudomonas, Methylorubrum, Meiothermus, Enterobacteriaceae_ng, Pseudomonas, Stenotrophomonas, Roseomonas, Acinetobacter, Commensalibacter, Snodgrassella, Arsenophonus, Comamonas, Klebsiella, Enterococcus, Acetobacter, Bifidobacterium, Sphingobium, Bombilactobacillus, Paenibacillus, Brevundimonas, Paenibacillus, Lachnoclostridium, Lactobacillus, Leucobacter, Paenibacillus, Bombilactobacillus, Lactobacillus
M13D5,2,13,5,800 ppb,1,1,23356,0,0,0,0,0,0,0.047097106,0,0,0,0,0,0,0,0,0.009076897,0,0,0.19793629,0,0,0,0,0,0,0,0.003510875,0,0,0.16406919,0,0,0,0,0,0,0,0,0,0,0.289090598,0,0,0,0,0.127718787,0.047011475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020123309,0,0.091025861,0,0,0.003339613,0,0,0,0,0,0
M13D8,2,13,8,800 ppb,1,1,26828,0,0.000708215,0,0.001416431,0,0,0.331817504,0,0,0,0,0,0.007902192,0.002460116,0,0.003391979,0,0,0.102132101,0,0,0,0.006821232,0,0,0,0.007529447,0,0,0.046444014,0,0,0,0,0,0,0,0,0,0.007417623,0.053898912,0,0,0,0,0.05620993,0.023035634,0,0,0,0,0,0,0,0,0.288877292,0,0,0,0,0.014648874,0,0,0.005777546,0,0.03611898,0,0,0.002273744,0.001118235,0,0,0,0,0
M15D0,1,15,0,Control,2,3,26139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002333678,0,0,0.146524351,0,0,0,0.316194193,0,0,0.00856957,0,0,0,0.153410612,0,0,0,0,0,0,0,0,0,0.028233674,0.132139715,0,0,0,0,0.05042274,0.091510769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011974444,0,0.058686254,0,0,0,0,0,0,0,0,0
M15D14,1,15,14,Control,2,3,24306,0,0,0,0,0,0,0,0,0,0,0,0,0.000493705,0,0,0.000493705,0,0,0.142269399,0,0,0,0.15226693,0,0,0.009092405,0,0,0,0.114498478,0,0,0,0,0,0,0,0,0,0.039249568,0.207027072,0,0,0,0,0.173989961,0.051263063,0,0,0,0,0,0,0.000370279,0,0,0,0,0,0,0,0,0,0.017691105,0,0.091294331,0,0,0,0,0,0,0,0,0
M15D3,1,15,3,Control,2,3,24613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000934466,0,0,0.123471336,0,0,0,0.309714379,0,0,0.007191322,0,0,0,0.103238126,0,0,0,0,0,0,0,0,0,0.046804534,0.152277252,0,0,0,0,0.095315484,0.047901515,0,0,0,8.13E-05,0,0,0,0,0,0,0,0,0,0,0,0,0.015885914,0,0.097184415,0,0,0,0,0,0,0,0,0
M15D5,1,15,5,Control,2,3,28654,0,0,0,0,0,0,0,0,0,0,0,0.000139597,0,0,0,0.001605361,0,0,0.081943184,0,0,0,0.316744608,0,0,0.006212047,0,0,0,0.147588469,0,0,0,0,0,0,0,0,0,0.064005025,0.140469044,0,0,0,0,0.087736442,0.041983667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010469742,0,0.101102813,0,0,0,0,0,0,0,0,0
M15D8,1,15,8,Control,2,3,24328,0,0,0,0,0,0,0.000123315,0,0,0,0,0,0,0,0,0.001233147,0,0,0.09445906,0,0,0,0.242683328,0,0,0.006165735,0,0,0,0.091252877,0,0,0,0,0,0.000246629,0,0,0,0.052655377,0.198331141,0,0,0,0,0.11669681,0.042584676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011838211,0,0.141729694,0,0,0,0,0,0,0,0,0
M16D0,1,16,0,DMSO,2,3,19959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001753595,0,0,0.037426725,0,0,0,0.41274613,0,0,0.002855855,0,0,0,0.160328674,0,0,0,0,0,0,0,0,0,0.031063681,0.131870334,0,0,0,0,0.050904354,0.072198006,0,0,0,0,0.000100205,0,0,0,0,0,0,0.000100205,0,0,0,0,0.012275164,0,0.086377073,0,0,0,0,0,0,0,0,0
M16D14,1,16,14,DMSO,2,3,24764,0.008116621,0,0,0,0,0,0.047811339,0,0,0,0,0,0.339484736,0,0,0.001494104,0,0,0.006339848,0,0,0,0.017283153,0,0,0,0,0,0,0.006864804,0,0,0,0,0,0,0,0,0,0.005895655,0.004118882,0.101599095,0,0,0,0.016717816,0.014375707,0,0,0,0,0,0,0.420247133,0,0,0,0,0,0,0,0,0,0.003270877,0,0.006380229,0,0,0,0,0,0,0,0,0
M16D3,1,16,3,DMSO,2,3,22769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016469762,0,0,0.106855813,0,0,0,0.055426237,0,0,0.004743291,0,0,0,0.10496728,0,0,0,0,0,0,0,0,0,0.037946331,0.257674909,0,0,0,0,0.116518073,0.073696693,0,0,0,0.000131758,0,0,0,0,0,0,0,0,0,0,0,0,0.013878519,0,0.211691335,0,0,0,0,0,0,0,0,0
M16D5,1,16,5,DMSO,2,3,26857,0,0,0,0,0,0,0,0,0,0,0,0,0.068622705,0,0,0.03406933,0,0,0.013367092,0,0,0,0.25155453,0,0,0.005585136,0,0,0,0.122091075,0,0,0,0,0,0,0,0,0,0.050936441,0.175633913,0.018207544,0,0,0,0.058494992,0.040622557,0,0,0,0,0,0,0.059612019,0,0,0,0,0,0,0,0,0,0.008824515,0,0.092378151,0,0,0,0,0,0,0,0,0
M16D8,1,16,8,DMSO,2,3,25805,0,0,0,0,0,0,0,0,0,0,0,0,0.003255183,0,0,0.00124007,0,0,0.110792482,0,0,0,0.245998837,0,0,0.003642705,0,0,0,0.068901376,0,0,0,0,0,0,0,0,0,0.031854292,0.170238326,0.00782794,0,0,0,0.124433249,0.047238907,0,0,0,0,0,0,0.031428018,0,0,0,0,0,0,0,0,0,0.010424336,0,0.142724278,0,0,0,0,0,0,0,0,0
M17D0,1,17,0,1 ppb,2,3,22275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009472503,0,0,0.085297419,0,0,0,0.235510662,0,0,0.008395062,0,0,0,0.201526375,0,0,0,0,0,0,0,0,0,0.046868687,0.197306397,0,0,0,0,0.079326599,0.03681257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013916947,0,0.085566779,0,0,0,0,0,0,0,0,0
